分野NUM,分野,中分野
1,地図の見方,日本の地理
2,国土・自然・気候,日本の地理
3,資源,日本の地理
4,農林水産業,日本の地理
5,工業,日本の地理
6,交通・通信・貿易,日本の地理
7,人口・生活・文化,日本の地理
8,各地方の特色,日本の地理
9,地理総合,日本の地理
10,世界の地理,世界の地理
11,原始～古代,時代
12,中世～近世,時代
13,近代～現代,時代
14,政治・法律史,テーマ
15,産業・経済史,テーマ
16,文化・宗教史,テーマ
17,外交・戦争史,テーマ
18,歴史総合,テーマ
19,世界の歴史,世界の歴史
20,憲法,政治
21,国会・内閣・裁判所,政治
22,地方自治,政治
23,経済,政治
24,生活と福祉,政治
25,国際関係・国際政治,政治
26,政治総合,政治
27,環境問題,環境問題
28,時事問題,時事問題
29,世界遺産,世界遺産
30,複数分野総合,複数分野総合
