中分野NUM,中分野,大分野
1,日本の地理,日本の地理
2,世界の地理,世界の地理
3,時代,日本の歴史
4,テーマ,日本の歴史
5,世界の歴史,世界の歴史
6,政治,政治
7,環境問題,環境問題
8,時事問題,時事問題
9,世界遺産,世界遺産
10,複数分野総合,複数分野総合
