分野NUM,分野,中分野
1,地図の見方,日本の地理
2,植物,生命
3,動物,生命
4,人体,生命
5,生物と環境,生命
6,季節と生物,生命
7,生命総合,生命
8,物質のすがた,物質
9,気体の性質,物質
10,水溶液の性質,物質
11,ものの溶け方,物質
12,金属の性質,物質
13,ものの燃え方,物質
14,物質総合,物質
15,てこ・滑車・輪軸,エネルギー
16,ばねののび方,エネルギー
17,ふりこ・物体の運動,エネルギー
18,浮力と密度・圧力,エネルギー
19,光の進み方,エネルギー
20,ものの温まり方,エネルギー
21,音の伝わり方,エネルギー
22,電気回路,エネルギー
23,磁石・電磁石,エネルギー
24,エネルギー総合,エネルギー
25,地球・月・太陽系,地球
26,星と星座,地球
27,風・雲と天候,地球
28,気温・地温・湿度,地球
29,流水のはたらき・地層と岩石,地球
30,火山・地震,地球
31,地球総合,地球
32,実験器具,実験器具
33,観察,観察
34,環境問題,環境問題
35,時事問題,時事問題
36,複数分野総合,複数分野総合
