分野NUM,分野,中分野
1,説明文・論説文,文章の種類
2,小説・物語・伝記,文章の種類
3,随筆・紀行・日記,文章の種類
4,会話・戯曲,文章の種類
5,詩,文章の種類
6,短歌・俳句,文章の種類
7,主題・要旨,主題・要旨
8,内容理解,主題・要旨
9,文脈・段落構成,主題・要旨
10,指示語・接続後,主題・要旨
11,その他,主題・要旨
12,漢字の読み,漢字
13,漢字の書き取り,漢字
14,部首・画数・筆頭,漢字
15,語句の意味,語句
16,かなづかい,語句
17,熟語,語句
18,慣用句・ことわざ,語句
19,文の組み立て,文法
20,品詞・用法,文法
21,敬語,文法
22,形式・技法,知識
23,文学作品の知識,知識
24,その他,知識
25,知識総合,知識
26,作文,表現
27,短文記述,表現
28,その他,表現
29,放送問題,放送問題
