中分野NUM,中分野,大分野
1,生命,生命
2,物質,物質
3,エネルギー,エネルギー
4,地球,地球
5,実験器具,実験器具
6,観察,観察
7,環境問題,環境問題
8,時事問題,時事問題
9,複数分野総合,複数分野総合
10,生命,大分野
